Date,AQI,state_id
01-01-2016,16,SD
04-01-2016,31,SD
07-01-2016,76,SD
10-01-2016,34,SD
13-01-2016,44,SD
16-01-2016,17,SD
19-01-2016,53,SD
22-01-2016,30,SD
25-01-2016,36,SD
29-01-2016,16,SD
31-01-2016,25,SD
03-02-2016,18,SD
05-02-2016,31,SD
09-02-2016,10,SD
12-02-2016,15,SD
15-02-2016,25,SD
18-02-2016,56,SD
21-02-2016,18,SD
24-02-2016,37,SD
27-02-2016,13,SD
01-03-2016,12,SD
05-03-2016,29,SD
07-03-2016,45,SD
10-03-2016,20,SD
13-03-2016,26,SD
16-03-2016,15,SD
19-03-2016,8,SD
22-03-2016,28,SD
25-03-2016,25,SD
28-03-2016,13,SD
31-03-2016,15,SD
01-04-2016,8,SD
03-04-2016,13,SD
06-04-2016,15,SD
09-04-2016,19,SD
12-04-2016,34,SD
15-04-2016,56,SD
18-04-2016,10,SD
21-04-2016,11,SD
24-04-2016,46,SD
27-04-2016,15,SD
30-04-2016,13,SD
03-05-2016,25,SD
06-05-2016,56,SD
09-05-2016,43,SD
12-05-2016,16,SD
15-05-2016,43,SD
18-05-2016,30,SD
21-05-2016,25,SD
24-05-2016,16,SD
27-05-2016,13,SD
30-05-2016,17,SD
02-06-2016,18,SD
05-06-2016,19,SD
08-06-2016,22,SD
11-06-2016,31,SD
14-06-2016,18,SD
17-06-2016,27,SD
20-06-2016,18,SD
23-06-2016,20,SD
26-06-2016,15,SD
29-06-2016,35,SD
02-07-2016,24,SD
05-07-2016,30,SD
08-07-2016,11,SD
11-07-2016,11,SD
17-07-2016,18,SD
20-07-2016,35,SD
25-07-2016,29,SD
26-07-2016,18,SD
29-07-2016,30,SD
01-08-2016,28,SD
04-08-2016,30,SD
07-08-2016,18,SD
10-08-2016,27,SD
13-08-2016,22,SD
16-08-2016,42,SD
19-08-2016,18,SD
22-08-2016,40,SD
25-08-2016,14,SD
28-08-2016,31,SD
31-08-2016,21,SD
03-09-2016,34,SD
06-09-2016,12,SD
09-09-2016,14,SD
12-09-2016,13,SD
15-09-2016,14,SD
18-09-2016,15,SD
24-09-2016,37,SD
27-09-2016,16,SD
30-09-2016,39,SD
03-10-2016,67,SD
06-10-2016,9,SD
09-10-2016,20,SD
12-10-2016,18,SD
15-10-2016,28,SD
18-10-2016,11,SD
21-10-2016,20,SD
24-10-2016,19,SD
27-10-2016,40,SD
30-10-2016,6,SD
02-11-2016,19,SD
05-11-2016,28,SD
09-11-2016,32,SD
11-11-2016,13,SD
14-11-2016,27,SD
17-11-2016,13,SD
20-11-2016,22,SD
23-11-2016,40,SD
26-11-2016,24,SD
02-12-2016,14,SD
05-12-2016,17,SD
08-12-2016,25,SD
14-12-2016,17,SD
17-12-2016,27,SD
20-12-2016,7,SD
23-12-2016,15,SD
26-12-2016,17,SD
29-12-2016,5,SD
01-01-2016,28,WA
02-01-2016,37,WA
03-01-2016,24,WA
04-01-2016,14,WA
05-01-2016,21,WA
06-01-2016,35,WA
07-01-2016,36,WA
08-01-2016,32,WA
09-01-2016,24,WA
10-01-2016,31,WA
11-01-2016,22,WA
12-01-2016,15,WA
13-01-2016,36,WA
14-01-2016,22,WA
15-01-2016,19,WA
16-01-2016,33,WA
17-01-2016,45,WA
18-01-2016,20,WA
19-01-2016,30,WA
20-01-2016,23,WA
21-01-2016,15,WA
22-01-2016,24,WA
23-01-2016,25,WA
24-01-2016,23,WA
25-01-2016,16,WA
26-01-2016,20,WA
27-01-2016,21,WA
28-01-2016,43,WA
29-01-2016,22,WA
30-01-2016,20,WA
31-01-2016,41,WA
01-02-2016,31,WA
02-02-2016,23,WA
03-02-2016,19,WA
04-02-2016,33,WA
05-02-2016,25,WA
06-02-2016,25,WA
07-02-2016,50,WA
08-02-2016,57,WA
09-02-2016,30,WA
10-02-2016,36,WA
11-02-2016,25,WA
12-02-2016,33,WA
13-02-2016,17,WA
14-02-2016,21,WA
15-02-2016,23,WA
16-02-2016,18,WA
17-02-2016,17,WA
18-02-2016,14,WA
19-02-2016,15,WA
20-02-2016,19,WA
21-02-2016,30,WA
22-02-2016,19,WA
23-02-2016,14,WA
24-02-2016,46,WA
25-02-2016,45,WA
26-02-2016,43,WA
27-02-2016,30,WA
28-02-2016,25,WA
29-02-2016,15,WA
01-03-2016,22,WA
02-03-2016,23,WA
03-03-2016,33,WA
04-03-2016,17,WA
05-03-2016,20,WA
06-03-2016,21,WA
07-03-2016,13,WA
08-03-2016,5,WA
09-03-2016,20,WA
11-03-2016,8,WA
12-03-2016,14,WA
14-03-2016,16,WA
15-03-2016,11,WA
16-03-2016,9,WA
17-03-2016,7,WA
18-03-2016,9,WA
19-03-2016,18,WA
20-03-2016,20,WA
21-03-2016,12,WA
22-03-2016,13,WA
23-03-2016,18,WA
24-03-2016,24,WA
25-03-2016,22,WA
26-03-2016,19,WA
27-03-2016,20,WA
28-03-2016,20,WA
29-03-2016,23,WA
30-03-2016,20,WA
31-03-2016,25,WA
01-04-2016,17,WA
02-04-2016,21,WA
03-04-2016,19,WA
04-04-2016,13,WA
05-04-2016,20,WA
06-04-2016,16,WA
07-04-2016,25,WA
08-04-2016,20,WA
09-04-2016,22,WA
10-04-2016,20,WA
11-04-2016,18,WA
12-04-2016,22,WA
13-04-2016,22,WA
14-04-2016,15,WA
15-04-2016,22,WA
16-04-2016,23,WA
17-04-2016,28,WA
18-04-2016,40,WA
19-04-2016,40,WA
20-04-2016,28,WA
21-04-2016,15,WA
22-04-2016,17,WA
23-04-2016,14,WA
24-04-2016,15,WA
25-04-2016,14,WA
26-04-2016,19,WA
27-04-2016,16,WA
28-04-2016,16,WA
29-04-2016,15,WA
30-04-2016,21,WA
01-05-2016,18,WA
02-05-2016,35,WA
03-05-2016,32,WA
