SD,16,
SD,31,
SD,76,
SD,34,
SD,44,
SD,17,
SD,53,
SD,30,
SD,36,
SD,16,
SD,25,
SD,18,
SD,31,
SD,10,
SD,15,
SD,25,
SD,56,
SD,18,
SD,37,
SD,13,
SD,12,
SD,29,
SD,45,
SD,20,
SD,26,
SD,15,
SD,8,
SD,28,
SD,25,
SD,13,
SD,15,
SD,8,
SD,13,
SD,15,
SD,19,
SD,34,
SD,56,
SD,10,
SD,11,
SD,46,
SD,15,
SD,13,
SD,25,
SD,56,
SD,43,
SD,16,
SD,43,
SD,30,
SD,25,
SD,16,
SD,13,
SD,17,
SD,18,
SD,19,
SD,22,
SD,31,
SD,18,
SD,27,
SD,18,
SD,20,
SD,15,
SD,35,
SD,24,
SD,30,
SD,11,
SD,11,
SD,18,
SD,35,
SD,29,
SD,18,
SD,30,
SD,28,
SD,30,
SD,18,
SD,27,
SD,22,
SD,42,
SD,18,
SD,40,
SD,14,
SD,31,
SD,21,
SD,34,
SD,12,
SD,14,
SD,13,
SD,14,
SD,15,
SD,37,
SD,16,
SD,39,
SD,67,
SD,9,
SD,20,
SD,18,
SD,28,
SD,11,
SD,20,
SD,19,
SD,40,
SD,6,
SD,19,
SD,28,
SD,32,
SD,13,
SD,27,
SD,13,
SD,22,
SD,40,
SD,24,
SD,14,
SD,17,
SD,25,
SD,17,
SD,27,
SD,7,
SD,15,
SD,17,
SD,5,
WA,28,
WA,37,
WA,24,
WA,14,
WA,21,
WA,35,
WA,36,
WA,32,
WA,24,
WA,31,
WA,22,
WA,15,
WA,36,
WA,22,
WA,19,
WA,33,
WA,45,
WA,20,
WA,30,
WA,23,
WA,15,
WA,24,
WA,25,
WA,23,
WA,16,
WA,20,
WA,21,
WA,43,
WA,22,
WA,20,
WA,41,
WA,31,
WA,23,
WA,19,
WA,33,
WA,25,
WA,25,
WA,50,
WA,57,
WA,30,
WA,36,
WA,25,
WA,33,
WA,17,
WA,21,
WA,23,
WA,18,
WA,17,
WA,14,
WA,15,
WA,19,
WA,30,
WA,19,
WA,14,
WA,46,
WA,45,
WA,43,
WA,30,
